"comment","user_id"
"I should say sorry cuz im late😀","719"
"WoW😁✌️","523"
"♥️♥️♥️♥️♥️♥️","785"
"I love lizkook so much 💗🖤🧿","108"
"Exclusive","111"
"My 💘💘💘  Oh  💘💘💘  My  💘💘💘","961"
"Awesome you are the best","653"
"My oh my 👍😘","9"
"Liskook❤😭","721"
"Go go lizkook but there editing","965"
"SoSososo🙃","29"
"OMG!!!","920"
"Wow","351"
"fotoshop","350"
"what does fmv mean","599"
"Liskook is life","797"
"Meu casal","419"
"#LİZKOOKFOREVER 💗🔥","528"
"💖 Forever Lizkook 💖","716"
"This was toooooo much girl","2"
"#ArmyBlinksmarriedagain","767"
"Love LISKOOK 💋❤","916"
"Jungkook dan aku seharusnya","329"
"Yoongi cant say no tete cause he loves tete","132"
"""Jhope once said """" Thanks to  Taehyung","300"
"Jk can't say not to Tae Tae is so cute 💜","135"
"Every body say noooooo until Taehyung appears","809"
"yoongi's soft spot for tae is the most adorable..","261"
"Anybody would think he's the maknae😂💜","822"
"tae truly is their baby :(","888"
"Lil meow meow can't say no to his tiny baby bear","338"
"They all have soft spot love for Taehyung","416"
"Yoongi and Tae have the sweetest bond.","925"
"""Taetae is so irresistible","311"
"Who can say no to my baby bear💜💜🥰🥰🥰","440"
"""Believe it or not","878"
"""what did his mother give him to eat","560"
"Especially suga","346"
"""Super Taehyung","563"
"The real baby of Bangtan 🥰😍","407"
"SO CUTREEEE","174"
"My taetae is baby bear love uuuuu","22"
"""Hi","640"
"V is so lucky to having like this family","882"
"0:50 😍😍😊🤗💜💋","438"
"Cutest video! 🥺🥺🥺💜💜💜🌼🌼🌺🌸❤❤","567"
"mwah... Was very funny 😂😂😂","895"
"""If i can","648"
"LOVE U V 💕💕💕","271"
"Cutiess  Just love them","684"
"ITS SOOOOO   ADORABLE!!!!!!!!!!!!!!!!!","200"
"Yes it true bts never say no to tae","742"
"2 : 43..🤣😍😛","228"
"0:38 where's this clip from which event is this","533"
"Luh ako lng ba nakakita ng Abs-Cbn logo-?","836"
"0:31 why ABS-CBN was there? where was that","120"
"I'm convinced he's a baby :)","981"
"you love vmin ?","648"
"lol","291"
"Beautiful ❤️❤️","174"
"Soo cute Queen ❤️","523"
"Beautiful  somya","225"
"15:00 how she is carrying her dress 😅🤣","954"
"queen♥️","577"
"So lovely and beautiful queen","146"
"Omge that's so beautiful 💖","708"
"Queen❤❤❤❤❤❤","427"
"Queen ❤️❤️❤️❤️","370"
"Bts armyyyy fightingggggg💜💜💜💜","590"
"The queen of red 🌹❤️","229"
"Imagine getting heart❤from somya diii🥰","673"
"So Beautiful","334"
"Beautiful  queen","636"
"You like a angel🥰🥰🥰","54"
"Beautiful ❤️❤️","459"
"So pretty","670"
"It's so pretty ❤️😍👑","670"
"So beautiful somiya ❤️❤️","11"
"Who want see somya daundkar clothe's colloction","791"
"OMG You look like a princess wow... 😘❤️","2"
"Di we want your home tour 💙❤💚💛🧡💜🖤","189"
"How beautiful ❤️❤️","984"
"So Beautiful queen","183"
"So pretty❤❤❤","253"
"I want this as my birthday dress 👗❤️","611"
"Beautiful queen💖💕💞👌👌","598"
"Awesome di amazing rocking 😍😍","556"
"Princess ♥️♥️","505"
"oh my God  cuts and sweet","332"
"Soooo beautiful 😍😍♥️","112"
"Reacting to my fan edits 😼💛","113"
"So beautiful ❤️❤️","657"
"""Looking so much beautiful sis ","209"
"So beautiful❤","90"
"Beautiful ❤","79"
"Gorgeous","678"
"Beautiful❤","329"
"Beauty queen 👑","357"
"Seriously so beautiful","597"
"Beautiful❤❤❤","980"
"BTS army ur superb","514"
"You look so pretty","823"
"So beautiful😍","728"
"Fabulous ❤❤❤","901"
"She is looking beautifull💓💓","431"
"So cute 😍","685"
"But before makeover...u were looking much cute!","279"
"Looking good somya💕💕😘","981"
"Mashallha","666"
"I have same copycat shoes ❤","743"
"Beautiful 💗","245"
"Beautiful ❤️❤️","277"
"Beautiful ❤️❤️","228"
"Thanks somya for following mi on mx takatak","374"
"You look just like a Princess 🤗🤗","714"
"Beautiful 😍","83"
"So beautiful 😍 💖","547"
"You are really entertaining diii","463"
"So beautiful ❣️❤️❤️","890"
"Beautiful 😍","556"
"beautifull❤❤❤❤❤","458"
"And you're looking so beautiful in this dress","928"
"Beautiful ❤❤❤","937"
"I want that dress😍😍","240"
"Good frnd circle .🤗😊","849"
"Happy Republic day somya didi ❤❤","770"
"You are looking so cute somya didi","349"
"""Naughty: Jimin","254"
"Naughty jimin and pure soul jin","701"
"""If anyone has forgotten ","388"
"""Yoongi is the least perverted","412"
"5:23  Jin be like: whyy whyy look down ⬇️🤣","105"
"""The perverts are hobi","922"
"Jimin and RM has the dirtiest mind 😂🤣💜","200"
"""namjoon: “wait","657"
"Others:Talking dirty things Jin:HEY. STOB IT!😂💜","458"
"0:05 RM is like : thanks me later 😆😆","135"
"lol 5:25 jin looks like he gonna throw up lmao","629"
"""Jungkook: """"my name is Jungkook","359"
"Jin is the only purest out there😂💜","918"
"""Personally","852"
"*Everybody want Seokjin* 💜","558"
"How many worldwide handsome fans here.....","793"
"0:04 Joon said ✨ur welcome ✨","333"
"Jin is soo innocent and pure soul in the group","653"
"""2:51","531"
"The first clip Namjoon was like: Your welcome 😌","489"
"""👑💜🥴RM and Jin","566"
"WE SHOULD ALL SAY THANKYOU TO NAMJOON 😭✊ (0:03)","658"
"We all know that the most dirty mind is RM...🌝","806"
"jimin is very N.A.U.G.H.T.Y. 😂😂😂😂","773"
"""so basically it's namjoon ","666"
"8:32 jhope didn't get it 🤣🤣 honest boy","779"
"Baby Jin and Kookie is so innocent 🥺💜💜","916"
"6:25 shy taetae bcos of holding hands me: dead","161"
"Ahhh poor jinnie 😂so innocent","839"
"1:50 LMAO look at jungkook","98"
"3:13 poor Tae baby 😂😂","30"
"9:23  I laughed so hard on this. 🤣","954"
"0:34 V's reaction was priceless😂","346"
"I like Jin the most","267"
"Jimin and RM are the real perverts 😂😅","941"
"Jin's laugh 🤣🤣😂😂😂 heh heh heh 😂😂😂😂🤣🤣🤣","990"
"""I wanna say","336"
"02:52 WHY HAVE I NEVER SEEN THIS CLIP BEFORE","528"
"Jin being confused at 5:25-5:27😂😂","462"
"Jimin the dirtiest mind😏 and jin the pure soul😉","239"
"0:04 thank u namjooniee🌝😂","733"
"""Jimin = Everyone ","664"
"Who loves our 7 WONDERS 👇💜","382"
"""""""Everyone is beautiful","728"
"""Mc was panicking when the 7members bow down too","220"
"""""""Moa-ah","598"
"Who love Taehyung??","301"
"Any Indian army hare😘💜💜","929"
"1:44 RM: just wait till we get home...","669"
"""Never failed to make us laugh","691"
"I miss old Tae and suga","410"
"8:36 Suga's laugh😍😍😍","612"
"8:04 Vmin so cute 😍💜","979"
"BTS 7 fantastic superSTARS ❗💣😘💥❗👈👍✌","784"
"3:53 i literally died of laughter 😂😂","20"
"3:54 Jin really you made me cry laughing","69"
"“Have everyone zipped the pants yet”😂😂","760"
"6:37  RM : shy  Me : die","673"
"1:44 Namjoon's eyes haha","527"
"""V :This is live broadcast","236"
"""7-1=? Me- 7-1=0  Also me-*Exactly","558"
"""did anyone see V make this face """"😑"""" in 6:20""","548"
"""😂😂😂its yoongi walking ","507"
"1:45 RM 😂","53"
"""BTS every videos make my smiles 😊 ","227"
"9:44 😂😂😂😂😂","711"
"Jin!!","561"
"5:53 best 🤣🤣🤣🤣🤣🤣","957"
"9:44 what are you doing jiminaa😂😂","342"
"""2:14 For a second","316"
"1:44 me mata la cara de nam😂😂😂","33"
"No one: Literally no one: Every Subtitles : 😂🤣","863"
"These days Namjoon is the biggest Bias wrecker","977"
"""3:55 OMG","950"
"8:52 I think Jin was sleeping with eyes open 😁😁","258"
"""They're so perfect at being normal ","170"
"RM’s glare at Taehyung is hilarious 🤣","358"
"""Watched these already","790"
"1:41 RM is like see this is Vmin","446"
"#音ゲー2週間チャレンジ しよう！ コメント欄に毎日の記録をかいてね！  例: 1/2 〇 1/3","824"
"自分の推しが歌ってる所が来ると 本気出す女wwwwwwwww","766"
"他の曲しんどすぎてDynamite楽しい案件","88"
"今までスキニー履くのひと苦労だったんだけど、めっちゃスルッって履けて爆笑しちゃった","695"
"自分もそうだけど一部の人が途中で消えてるのを見て続けられる人って少ないんだなって思う","258"
"グクの好きな女の子のタイプに足が綺麗な子が入ってたのでこれ頑張りますめっちゃ楽しいです🐰","970"
"いっつも三日坊主だけど1週間以上続いてる❕偉い❕褒めて（（","412"
"ARMYにはめちゃくちゃ嬉しいです！！！ 頑張る！！！","246"
"忘れないように皆いいねお願いします❤  2月28日🙆🏻🙆🏻","854"
"これをやった次の日はとにかくうちももの筋肉痛がすごい!これからも頑張る!","630"
"BTSは嬉しすぎ、もっとBTSして欲しい🥺🥺","880"
"リクエストが多かったDynamiteを動画にしました！お待たせです！","322"
"大好きな、テヒョンを思い出して♥️ テテ推しのひといる？","412"
"推しの曲だから、やる気になったわ。ありがとうございます。","337"
"dynamite好きだから毎日続けてしてるのに なぜ細くならないのだ…私の足よ","164"
"巻き肩や反り腰解消の音ゲーチャレンジもあると嬉しいです😆","17"
"足パカで美脚目指すだけじゃなく、慣れるまで脳トレにもなりそうないいテンポ","872"
"え、びっくり普通にきついし、そんな後半そんな足開かない…、、すごい！！頑張ろ（ ;  ; ）","26"
"Eveさんの廻廻奇譚の足パカやって欲しいです(っ ॑꒳ ॑c)","781"
"私立入試終わったら好きな人と出かけることになりました！！その日までに 頑張っていきます","586"
